Date,XIC.TO,XUH.TO,XQQ.TO,VAB.TO,XGD.TO,XEI.TO
2019-01-31,22.758413314819336,23.896615982055664,57.04301071166992,23.164094924926758,11.712141036987305,17.330821990966797
2019-02-28,23.47535514831543,24.68294334411621,58.622982025146484,23.241586685180664,11.643819808959961,17.96401596069336
2019-03-29,23.7082576751709,24.949888229370117,60.910858154296875,23.77245330810547,11.960405349731445,18.24601936340332
2019-04-30,24.458105087280273,25.932844161987305,64.25546264648438,23.745637893676758,11.167613983154297,18.662601470947266
2019-05-31,23.736024856567383,24.236757278442383,58.86920928955078,24.151931762695312,11.64720344543457,18.246732711791992
2019-06-28,24.30503273010254,25.777233123779297,63.1181640625,24.358787536621094,13.54490852355957,18.431442260742188
2019-07-31,24.398366928100586,26.222335815429688,64.68247985839844,24.370975494384766,13.888687133789062,18.422670364379883
2019-08-30,24.510374069213867,25.65144157409668,63.293121337890625,24.873292922973633,16.11834144592285,18.46947479248047
2019-09-30,24.927310943603516,26.140090942382812,63.70478057861328,24.627653121948242,14.443272590637207,19.291671752929688
2019-10-31,24.71087646484375,26.59698486328125,66.50408935546875,24.598735809326172,15.317730903625488,18.99043846130371
2019-11-29,25.6236572265625,27.685749053955078,69.30340576171875,24.687265396118164,14.934541702270508,19.7831974029541
2019-12-31,25.71591567993164,28.274120330810547,71.80767059326172,24.445417404174805,16.00748634338379,20.01551055908203
2020-01-31,26.18037986755371,28.28388023376465,73.99398040771484,25.140409469604492,16.341590881347656,20.29642677307129
2020-02-28,24.654296875,25.30611801147461,69.61105346679688,25.313045501708984,15.241015434265137,18.977312088012695
2020-03-31,20.295841217041016,22.09426498413086,63.95966720581055,24.56361961364746,14.383357048034668,14.512649536132812
2020-04-30,22.576488494873047,24.772653579711914,73.46803283691406,25.733015060424805,20.085575103759766,15.526885032653809
2020-05-29,23.19935417175293,25.979402542114258,78.01594543457031,25.852447509765625,20.124900817871094,15.767010688781738
2020-06-30,23.820573806762695,26.488500595092773,82.89745330810547,26.254133224487305,21.222721099853516,15.773737907409668
2020-07-31,24.86465835571289,27.85672950744629,88.70286560058594,26.605838775634766,24.41055679321289,16.104854583740234
2020-08-31,25.435035705566406,30.022274017333984,98.33032989501953,26.28334617614746,23.515207290649414,16.83507537841797
2020-09-30,24.936296463012695,28.690406799316406,92.65921020507812,26.350543975830078,22.376379013061523,16.329967498779297
2020-10-30,24.17592430114746,27.989439010620117,89.95277404785156,26.1343994140625,21.519914627075195,16.050683975219727
2020-11-30,26.77873420715332,31.375816345214844,99.49760437011719,26.420455932617188,19.186786651611328,18.558246612548828
2020-12-31,27.159809112548828,32.668006896972656,104.29530334472656,26.46866226196289,19.38542366027832,18.50884246826172
2021-01-29,27.140178680419922,32.777061462402344,104.36770629882812,26.117767333984375,18.69519805908203,18.843820571899414
2021-02-26,28.22970962524414,33.728843688964844,104.44010925292969,25.400009155273438,16.673830032348633,19.87725067138672
2021-03-31,29.361352920532227,35.05093002319336,105.91925811767578,25.06022071838379,17.669940948486328,21.1726131439209
2021-04-30,30.07290267944336,36.6518440246582,112.02203369140625,25.07391929626465,18.203298568725586,21.773988723754883
2021-05-31,31.120466232299805,36.76122283935547,110.2015380859375,25.22022819519043,20.42562484741211,22.69510841369629
2021-06-30,31.885784149169922,37.70381164550781,117.90444946289062,25.493003845214844,18.298917770385742,23.222272872924805
2021-07-30,32.14437484741211,38.43137741088867,121.16692352294922,25.73975372314453,19.163198471069336,23.01723289489746
2021-08-31,32.641658782958984,39.48783874511719,126.29364776611328,25.70625114440918,18.040626525878906,23.190147399902344
2021-09-30,31.917905807495117,37.751190185546875,119.10586547851562,25.334468841552734,16.44875144958496,23.402481079101562
2021-10-29,33.52931594848633,40.227989196777344,128.25112915039062,25.058305740356445,17.036561965942383,24.5186710357666
2021-11-30,33.02887725830078,39.798545837402344,130.8921661376953,25.250953674316406,17.88340950012207,23.958148956298828
2021-12-31,33.520450592041016,41.22514343261719,127.55000305175781,25.704370498657227,18.260000228881836,25.150545120239258
2022-01-31,33.40119552612305,38.78254318237305,116.47000122070312,24.798503875732422,17.579999923706055,26.401235580444336
2022-02-28,33.49063491821289,37.7955322265625,111.47000122070312,24.615930557250977,19.709999084472656,26.9699649810791
2022-03-31,34.86000061035156,39.150001525878906,116.05999755859375,23.918407440185547,21.90999984741211,28.04697036743164
2022-04-29,33.11000061035156,35.5,99.75,23.059999465942383,20.709999084472656,27.469999313354492
