Date,AAPL,MSFT,AAL,WMT
2018-10-31,52.78649139404297,102.3896713256836,34.426761627197266,93.93963623046875
2018-11-30,43.22170639038086,106.76004791259766,39.52094650268555,91.47591400146484
2018-12-31,38.17780303955078,97.78714752197266,31.599044799804688,87.73662567138672
2019-01-31,40.28346252441406,100.54063415527344,35.2008056640625,90.2608871459961
2019-02-28,42.08720779418945,108.3182144165039,35.15863037109375,93.23723602294922
2019-03-29,46.17075729370117,114.03240203857422,31.339824676513672,92.35637664794922
2019-04-30,48.77644348144531,126.2729263305664,33.72780990600586,97.38468170166016
2019-05-31,42.71778106689453,120.02486419677734,26.94729995727539,96.5692367553711
2019-06-28,48.293277740478516,130.00106811523438,32.27145004272461,105.18470001220703
2019-07-31,51.98261260986328,132.24282836914062,30.193246841430664,105.07997131347656
2019-08-30,51.126914978027344,134.2312774658203,26.128435134887695,109.30909729003906
2019-09-30,54.857215881347656,135.37049865722656,26.78388023376465,113.53759002685547
2019-10-31,60.92905807495117,139.5962677001953,29.852554321289062,112.17912292480469
2019-11-29,65.65435791015625,147.89695739746094,28.63418197631836,113.9298095703125
2019-12-31,72.13993835449219,154.07159423828125,28.574403762817383,114.20059967041016
