Date,AAPL,MSFT,WMT,AAL,LDOS,INTU,HIG,SWKS,FAST,CERN,NDAQ,RHI,ETR,AOS,VNO,CPT,HPE,EFX,AVGO,DLTR,MLM,PSA,TXN,ALB,NVDA,AVB,DRE,TTWO,LYB,NCLH,RCL,FISV,EQR,STX,TECH,RTX,D,EMR,LRCX,SLB,ALGN,IEX,WTW,EXR,FIS,COO,UDR,BBY,NWSA,EPAM
2018-10-31,52.7864875793457,102.3896713256836,93.93963623046875,34.42676544189453,61.32551574707031,206.10626220703125,41.43581771850586,81.50162506103516,23.448883056640625,55.410606384277344,81.9737548828125,56.183319091796875,73.24191284179688,42.70195770263672,54.903419494628906,81.25272369384766,13.6122465133667,97.99695587158203,200.52978515625,84.30000305175781,166.3235626220703,184.0981903076172,86.2286148071289,94.4776382446289,52.33350372314453,157.28863525390625,25.24686050415039,128.8699951171875,62.754920959472656,44.06999969482422,100.49878692626953,79.30000305175781,58.253395080566406,35.09828567504883,165.22470092773438,71.74282836914062,61.92695236206055,61.7724609375,134.9724884033203,45.48607635498047,221.1999969482422,122.22764587402344,143.16000366210938,81.13690948486328,100.38211059570312,258.1510009765625,35.2557373046875,64.28055572509766,12.736553192138672,119.47000122070312
2018-11-30,43.221710205078125,106.76004791259766,91.47592163085938,39.52094650268555,59.64044189453125,209.5543670654297,40.58871078491211,68.7294692993164,27.029386520385742,56.02004623413086,86.33194732666016,57.664180755615234,76.77308654785156,44.43703842163086,58.57417678833008,85.65425109863281,13.389094352722168,99.57012176513672,213.01971435546875,86.7699966430664,185.62461853027344,191.07789611816406,92.74939727783203,91.71622467041016,40.60818099975586,170.91172790527344,26.25982666015625,109.66999816894531,65.59496307373047,51.31999969482422,108.50183868408203,79.12999725341797,63.89401626586914,37.59346008300781,159.3037567138672,70.77755737304688,64.5975341796875,61.89483642578125,149.47634887695312,39.980934143066406,229.88999938964844,132.42453002929688,159.4499969482422,86.4703598022461,104.09461212158203,278.6583557128906,38.34140396118164,59.177303314208984,12.533772468566895,130.25
2018-12-31,38.17780685424805,97.78714752197266,87.73661804199219,31.59904670715332,50.183433532714844,192.284423828125,40.8275260925293,63.29871368408203,23.850265502929688,50.72856903076172,77.5042953491211,53.34613037109375,75.90007019042969,40.0477409362793,50.49131774902344,79.92515563964844,11.883493423461914,90.31816101074219,230.5607452392578,90.31999969482422,167.3045196533203,183.06785583496094,87.77986907958984,73.66429138183594,33.17133712768555,157.43038940429688,23.897733688354492,102.94000244140625,59.12990951538086,42.38999938964844,94.46607208251953,73.48999786376953,59.68153381347656,34.24385070800781,142.82269287109375,61.854827880859375,62.65623092651367,54.77216339111328,130.569580078125,32.333927154541016,209.42999267578125,121.68791198730469,151.86000061035156,82.2422103881836,99.18479919433594,254.34335327148438,35.642574310302734,48.885040283203125,10.959810256958008,116.01000213623047
2019-01-31,40.28346252441406,100.5406265258789,90.2608871459961,35.2008056640625,55.20938491821289,211.30189514160156,43.09622573852539,68.98445892333984,27.77588653564453,53.11796188354492,83.65180969238281,60.08901596069336,78.65142059326172,45.09451675415039,57.482704162597656,88.00389862060547,14.02450180053711,103.78877258300781,243.2276611328125,96.83000183105469,171.9867401123047,192.2117462158203,94.2363510131836,77.16255187988281,35.718204498291016,174.49853515625,26.979528427124023,105.55000305175781,74.90351867675781,51.43000030517578,115.96944427490234,82.93000030517578,65.60356140136719,39.29302215576172,172.1727752685547,68.58753204345703,61.58653259277344,60.01561737060547,162.60546875,39.619815826416016,248.9499969482422,133.2875518798828,162.7899932861328,89.63201904296875,101.09981536865234,278.6197204589844,39.6826171875,54.68183898925781,12.38892936706543,141.47999572753906
2019-02-28,42.087215423583984,108.31820678710938,93.23724365234375,35.158626556396484,61.48231506347656,241.9563751220703,45.33738327026367,77.48309326171875,28.91521644592285,54.12401580810547,87.00587463378906,63.88959503173828,83.1348648071289,48.92934799194336,55.344871520996094,89.03870391845703,14.735173225402832,106.2035903930664,249.67440795898438,96.33000183105469,182.81137084960938,191.2801513671875,99.00994110107422,87.25590515136719,38.36917495727539,176.04525756835938,27.48242950439453,87.26000213623047,73.65470123291016,55.529998779296875,114.45281219482422,84.69000244140625,66.625244140625,41.316246032714844,191.68235778808594,73.43624114990234,65.77456665039062,62.92305374145508,168.8477325439453,39.942501068115234,258.9700012207031,139.32058715820312,172.02000427246094,87.20509338378906,104.60104370117188,285.8460388183594,40.29032516479492,63.54316711425781,12.57239818572998,161.77999877929688
2019-03-29,46.1707649230957,114.03240203857422,92.35636901855469,31.33982276916504,61.316097259521484,255.9374542236328,45.947303771972656,78.26114654541016,29.544607162475586,55.342891693115234,83.56151580810547,61.05067825317383,85.1836166381836,50.23903274536133,55.451778411865234,92.86614227294922,13.979987144470215,115.33663177490234,275.0953369140625,105.04000091552734,196.3377685546875,198.78582763671875,99.28137969970703,78.69322204589844,44.66205596923828,182.9473114013672,28.421125411987305,94.37000274658203,73.27127838134766,54.959999084472656,111.37692260742188,88.27999877929688,68.62010955810547,43.05973434448242,196.27919006347656,75.31787872314453,68.05614471435547,63.21851348876953,172.70187377929688,39.498294830322266,284.3299865722656,146.70721435546875,175.64999389648438,93.43389892578125,109.74559783935547,296.02093505859375,41.233642578125,66.06260681152344,12.105168342590332,169.1300048828125
2019-04-30,48.77644729614258,126.2729721069336,97.38468170166016,33.727806091308594,70.29969787597656,246.2479705810547,48.34077072143555,83.66958618164062,32.611366271972656,64.28132629394531,88.06002807617188,58.17427444458008,86.31489562988281,49.7280387878418,56.849578857421875,92.08845520019531,14.324275970458984,122.58773040771484,291.278564453125,111.27999877929688,216.55906677246094,201.88926696777344,110.28871154785156,72.0506591796875,45.020233154296875,183.12953186035156,28.923006057739258,96.83000183105469,76.88777160644531,56.38999938964844,117.51811218261719,87.23999786376953,69.62226867675781,43.44636154174805,202.25009155273438,83.33525085449219,69.13032531738281,65.54522705078125,200.12037658691406,38.69145965576172,324.67999267578125,151.46401977539062,184.33999633789062,95.06584930419922,112.49166870117188,289.7740478515625,41.07992172241211,69.1770248413086,12.08570671081543,179.36000061035156
2019-05-31,42.71778106689453,120.0248794555664,96.56925201416016,26.94729995727539,72.06961822509766,240.15699768066406,48.94087600708008,63.56492614746094,28.280132293701172,67.68645477294922,86.5700912475586,50.55303955078125,87.28938293457031,38.310550689697266,54.99091720581055,94.56793212890625,12.430681228637695,118.0443115234375,230.20518493652344,101.58999633789062,205.89840698242188,217.1327667236328,98.27827453613281,60.76214599609375,33.73149871826172,185.0253143310547,28.164648056030273,108.1500015258789,64.7049331665039,54.709999084472656,118.31490325927734,85.86000061035156,69.75892639160156,37.628936767578125,196.0956573486328,74.21150207519531,66.74224090576172,56.03862762451172,168.45693969726562,31.448150634765625,284.3500061035156,148.127685546875,175.5,98.24724578857422,116.73204803466797,297.64013671875,40.924556732177734,58.262657165527344,11.083431243896484,172.58999633789062
2019-06-28,48.29327392578125,130.00106811523438,105.1846923828125,32.27145004272461,76.70369720458984,256.3210754394531,51.784759521484375,73.71546173095703,30.12911033630371,71.08493041992188,92.3062973022461,53.709075927734375,92.55894470214844,44.610504150390625,53.22236251831055,96.24876403808594,13.65328598022461,132.04559326171875,265.8647766113281,107.38999938964844,225.07974243164062,219.19622802734375,108.12400817871094,67.93346405029297,40.89564514160156,186.5893096923828,29.58738899230957,113.52999877929688,76.05142974853516,53.630001068115234,118.46149444580078,91.16000366210938,69.68998718261719,42.97776794433594,206.43263244628906,76.5030746459961,69.46369934082031,62.066688537597656,182.2694854736328,36.54102325439453,273.70001220703125,166.974609375,191.5399932861328,98.08655548095703,119.38692474365234,336.7204284667969,41.02508544921875,65.32466888427734,13.126907348632812,173.10000610351562
2019-07-31,51.98261260986328,132.24278259277344,105.07997131347656,30.193248748779297,78.86504364013672,272.46710205078125,53.559871673583984,81.35699462890625,28.6733341217041,69.48478698730469,92.4982681274414,56.91221237182617,94.97789764404297,43.20988845825195,53.405029296875,95.6218032836914,13.123591423034668,135.8046417236328,267.8319396972656,101.75,242.33412170410156,223.4205322265625,118.4832534790039,70.39374542236328,42.01371765136719,191.7412109375,31.19733238220215,122.5199966430664,73.8969497680664,49.439998626708984,113.70191955566406,105.43000030517578,72.416259765625,42.23897171020508,208.0762481689453,78.50083923339844,66.7415771484375,60.355018615722656,202.42355346679688,36.752506256103516,209.0800018310547,163.65121459960938,195.22000122070312,103.9014892578125,129.67320251464844,337.26068115234375,42.407371520996094,71.69505310058594,12.80578899383545,193.7899932861328
