Date,AAPL,MSFT,AAL,WMT,MMM,AIG,GOOGL,AMD,BLK,KO,GE,GM,INTC,JNJ,JPM,CMCSA,MA,MCD,MRNA,PFE
2019-01-31,40.28346252441406,100.54063415527344,35.2008056640625,90.26087188720703,177.5398406982422,39.223419189453125,1125.8900146484375,24.40999984741211,382.6334533691406,43.39731979370117,77.13536071777344,36.9940299987793,43.05304718017578,122.1244125366211,93.97989654541016,34.25492858886719,207.6146240234375,165.5842742919922,16.600000381469727,35.9057502746582
2019-02-28,42.08720779418945,108.31820678710938,35.158626556396484,93.23722839355469,185.0951385498047,39.19619369506836,1126.550048828125,23.530000686645508,408.5737609863281,40.88166046142578,82.03679656982422,37.430137634277344,48.69571304321289,126.22295379638672,94.76079559326172,36.221988677978516,221.0275115966797,171.35487365722656,22.600000381469727,36.6670036315918
2019-03-29,46.17076110839844,114.03239440917969,31.339824676513672,92.35636138916016,185.4431915283203,39.35677719116211,1176.8900146484375,25.520000457763672,396.9581604003906,42.62105941772461,78.9620590209961,35.52278137207031,49.376129150390625,129.13279724121094,91.91868591308594,37.44905090332031,231.52969360351562,177.00328063964844,20.350000381469727,35.922664642333984
2019-04-30,48.77644729614258,126.27294921875,33.727806091308594,97.38468170166016,169.13723754882812,43.478904724121094,1198.9599609375,27.6299991607666,450.7101135253906,44.62204360961914,80.38479614257812,37.29413986206055,46.9303092956543,130.435302734375,106.18183898925781,40.987850189208984,250.35598754882812,184.15243530273438,26.030000686645508,34.34941482543945
2019-05-31,42.71779251098633,120.02486419677734,26.94729995727539,96.56924438476562,143.7964324951172,46.67790222167969,1106.5,27.40999984741211,385.9884948730469,44.68571472167969,74.61478424072266,31.922632217407227,40.74193572998047,121.98045349121094,96.94984436035156,38.6056022644043,247.64801025390625,185.88711547851562,20.780000686645508,35.430599212646484
2019-06-28,48.293277740478516,130.00108337402344,32.271446228027344,105.1846923828125,156.0292510986328,48.99388122558594,1082.800048828125,30.3700008392334,439.2400817871094,46.67533874511719,83.07302856445312,37.28733825683594,44.28511428833008,129.5420379638672,102.2932357788086,39.81085205078125,260.48870849609375,194.69065856933594,14.640000343322754,36.966609954833984
2019-07-31,51.982608795166016,132.24278259277344,30.193246841430664,105.07997131347656,157.2714385986328,51.48587417602539,1218.199951171875,30.450000762939453,437.7239074707031,48.24278259277344,82.67743682861328,39.03895950317383,46.76441955566406,121.11550903320312,106.88750457763672,40.8497314453125,268.4360046386719,197.55955505371094,13.100000381469727,33.14365768432617
2019-08-30,51.126922607421875,134.23130798339844,26.128435134887695,109.30909729003906,146.9017333984375,47.85363006591797,1190.530029296875,31.450000762939453,395.49395751953125,50.4518928527832,65.27165985107422,35.89377975463867,44.155696868896484,120.2801284790039,101.2298355102539,41.88114929199219,277.40789794921875,205.43731689453125,15.729999542236328,30.6199893951416
2019-09-30,54.85721969604492,135.37049865722656,26.78388023376465,113.53758239746094,149.3361358642578,51.50690460205078,1221.1400146484375,28.989999771118164,420.4322509765625,50.266754150390625,70.80720520019531,36.63525390625,47.992897033691406,121.2359390258789,108.44474792480469,42.657073974609375,267.74591064453125,202.36480712890625,15.920000076293945,30.94729232788086
2019-10-31,60.92905807495117,139.59628295898438,29.852556228637695,112.17911529541016,149.87208557128906,48.97315979003906,1258.800048828125,33.93000030517578,435.5838317871094,50.25751876831055,79.0442886352539,36.32246398925781,52.64967727661133,123.72848510742188,116.02887725830078,42.609535217285156,273.24334716796875,185.3903045654297,16.75,33.04891586303711
2019-11-29,65.65435028076172,147.89698791503906,28.63418197631836,113.92981719970703,155.54920959472656,48.69575119018555,1304.0899658203125,39.150001525878906,466.9152526855469,49.674781799316406,89.2614517211914,35.1886100769043,54.362892150878906,129.72802734375,122.38204193115234,41.97258758544922,288.4647216796875,184.47264099121094,20.360000610351562,33.4987678527832
2019-12-31,72.13995361328125,154.0715789794922,28.574403762817383,114.20059204101562,161.6421661376953,47.76510238647461,1339.3900146484375,45.86000061035156,477.5023193359375,51.488746643066406,88.47034454345703,36.15889358520508,56.04856872558594,137.6349334716797,129.47824096679688,42.75214767456055,294.7427673339844,187.4415740966797,19.559999465942383,34.072731018066406
2020-01-31,76.03622436523438,166.31326293945312,26.741178512573242,110.02041625976562,145.36985778808594,46.769412994384766,1432.780029296875,47.0,500.9167175292969,54.32598114013672,98.69676208496094,32.98758316040039,59.869422912597656,140.465576171875,123.72857666015625,41.253868103027344,312.2852783203125,202.95974731445312,20.510000228881836,32.71643829345703
2020-02-28,67.31475830078125,158.71473693847656,19.049999237060547,103.47627258300781,137.9771728515625,39.23196792602539,1339.25,45.47999954223633,439.8017272949219,49.758506774902344,86.25066375732422,30.132413864135742,52.24964904785156,127.69707489013672,108.53827667236328,38.61759948730469,286.89251708984375,185.33114624023438,25.93000030517578,29.360458374023438
2020-03-31,62.6187858581543,154.502197265625,12.1899995803833,109.66751098632812,126.2078628540039,22.850679397583008,1161.949951171875,45.47999954223633,421.0874328613281,41.52409744262695,63.00646209716797,20.780000686645508,50.93210983276367,124.51605224609375,84.15899658203125,33.05301284790039,238.76571655273438,157.82305908203125,29.950000762939453,28.675201416015625
2020-04-30,72.34810638427734,175.56491088867188,12.010000228881836,117.32164764404297,140.45489501953125,23.962589263916016,1346.699951171875,52.38999938964844,480.4935302734375,43.06306457519531,53.960201263427734,22.290000915527344,56.446929931640625,142.47227478027344,90.44552612304688,36.17756652832031,272.2095031738281,179.0220489501953,45.9900016784668,33.70038986206055
