Date,AAPL,MSFT,AAL,WMT,MMM,AIG,GOOGL,AMD,BLK,KO,GE,GM,INTC,JNJ,JPM,CMCSA,MA,MCD,NDAQ,PFE
2021-01-29,131.5396728515625,230.8938446044922,17.170000076293945,138.2908477783203,168.62576293945312,36.53143310546875,1827.3599853515625,85.63999938964844,687.70068359375,46.67840576171875,85.28296661376953,50.68000030517578,54.83734130859375,158.10501098632812,125.66862487792969,49.13269805908203,314.7320251464844,202.06375122070312,134.38101196289062,34.6605339050293
2021-02-26,121.05438232421875,231.8446502685547,20.940000534057617,127.88627624511719,169.43460083007812,42.883453369140625,2021.9100341796875,84.51000213623047,681.0713500976562,47.49273681640625,100.13561248779297,51.33000183105469,60.40793991088867,154.5365447998047,143.73707580566406,52.254913330078125,352.1070251464844,201.64410400390625,137.3811492919922,32.333744049072266
2021-03-31,121.94287109375,235.22683715820312,23.899999618530273,134.26202392578125,186.48838806152344,45.388450622558594,2062.52001953125,78.5,743.7605590820312,51.524356842041016,104.85659790039062,57.459999084472656,63.60823059082031,160.28070068359375,148.67904663085938,53.632652282714844,354.2961730957031,219.25152587890625,146.98916625976562,34.97914123535156
2021-04-30,131.23709106445312,251.59902954101562,21.719999313354492,138.294921875,190.80508422851562,47.588626861572266,2353.5,81.62000274658203,808.2166137695312,52.76579284667969,104.7767333984375,57.220001220703125,57.177833557128906,158.70079040527344,151.10696411132812,55.90971374511719,380.62939453125,230.93112182617188,161.02418518066406,37.31559371948242
2021-05-31,124.61000061035156,249.67999267578125,24.239999771118164,140.94178771972656,197.96160888671875,51.900577545166016,2356.85009765625,80.08000183105469,865.1754760742188,54.046329498291016,112.28361511230469,59.310001373291016,57.119998931884766,166.08917236328125,161.3536834716797,57.09461975097656,359.22979736328125,230.05245971679688,166.92530822753906,37.76128005981445
2021-06-30,136.9600067138672,270.8999938964844,21.209999084472656,139.93951416015625,193.6619110107422,47.04312515258789,2441.7900390625,93.93000030517578,867.169189453125,53.29141616821289,107.50220489501953,59.16999816894531,56.13999938964844,161.66339111328125,152.8065643310547,56.7759895324707,363.7229309082031,227.20005798339844,175.8000030517578,38.18052673339844
2021-07-30,145.86000061035156,284.9100036621094,20.3799991607666,141.45779418945312,192.98916625976562,46.796051025390625,2694.530029296875,106.19000244140625,859.4387817382812,56.167240142822266,103.42893981933594,56.84000015258789,53.720001220703125,168.98406982421875,149.97190856933594,58.83000183105469,384.94781494140625,238.72776794433594,186.72999572753906,42.11726760864258
2021-08-31,151.8300018310547,301.8800048828125,19.940000534057617,147.50608825683594,191.31858825683594,53.92169952392578,2893.949951171875,110.72000122070312,934.880126953125,55.458133697509766,105.23595428466797,49.0099983215332,54.060001373291016,170.9062957763672,158.04458618164062,60.68000030517578,345.3399353027344,234.84437561035156,195.77999877929688,45.32451629638672
2021-09-30,141.5,281.9200134277344,20.520000457763672,138.82106018066406,172.33802795410156,54.56865310668945,2673.52001953125,102.9000015258789,834.8095703125,52.06623840332031,102.93986511230469,52.709999084472656,53.279998779296875,159.4256591796875,161.7400360107422,55.93000030517578,346.7861633300781,238.45416259765625,193.02000427246094,42.314029693603516
2021-10-29,149.8000030517578,331.6199951171875,19.200000762939453,148.82080078125,175.54074096679688,58.74406433105469,2960.919921875,120.2300033569336,939.1284790039062,55.93622589111328,104.77825927734375,54.43000030517578,49.0,160.78794860839844,168.87771606445312,51.43000030517578,335.0802917480469,242.84527587890625,209.8699951171875,43.032222747802734
2021-11-30,165.3000030517578,330.5899963378906,17.690000534057617,140.06605529785156,168.4120330810547,52.292057037353516,2837.949951171875,158.3699951171875,900.4568481445312,52.45000076293945,94.90689849853516,57.869998931884766,49.20000076293945,154.93544006347656,157.8836212158203,49.97999954223633,314.5072937011719,243.24684143066406,203.22999572753906,53.32456588745117
2021-12-31,177.57000732421875,336.32000732421875,17.959999084472656,144.69000244140625,175.92938232421875,56.86000061035156,2897.0400390625,143.89999389648438,915.5599975585938,59.209999084472656,94.47000122070312,58.630001068115234,51.5,169.9788818359375,157.406494140625,50.33000183105469,358.84912109375,266.5870056152344,210.00999450683594,58.60441970825195
2022-01-31,174.77999877929688,310.9800109863281,16.469999313354492,139.80999755859375,164.43052673339844,57.75,2706.070068359375,114.25,822.9400024414062,61.0099983215332,94.4800033569336,52.72999954223633,48.81999969482422,171.1910858154297,148.60000610351562,49.9900016784668,386.3800048828125,258.01470947265625,179.2100067138672,52.689998626708984
2022-02-28,165.1199951171875,298.7900085449219,17.25,135.16000366210938,148.64999389648438,61.2400016784668,2701.139892578125,123.33999633789062,743.8900146484375,62.2400016784668,95.51000213623047,46.720001220703125,47.70000076293945,164.57000732421875,141.8000030517578,46.7599983215332,360.82000732421875,244.77000427246094,171.14999389648438,46.939998626708984
2022-03-31,174.61000061035156,308.30999755859375,18.25,148.9199981689453,148.8800048828125,62.77000045776367,2781.35009765625,109.33999633789062,764.1699829101562,62.0,91.5,43.7400016784668,49.560001373291016,177.22999572753906,136.32000732421875,46.81999969482422,357.3800048828125,247.27999877929688,178.1999969482422,51.77000045776367
2022-04-29,157.64999389648438,277.5199890136719,18.770000457763672,152.99000549316406,144.22000122070312,58.5099983215332,2282.18994140625,85.5199966430664,624.6799926757812,64.61000061035156,74.55000305175781,37.90999984741211,43.59000015258789,180.4600067138672,119.36000061035156,39.7599983215332,363.3800048828125,249.16000366210938,157.3699951171875,49.06999969482422
